game_pk,at_bat_number,pitch_in_pa,batter,home_team,away_team,pitch_type,pitch_type_idx,stand,batter_hand_idx,prev_pitch_type,prev_pitch_idx,prev_prev_pitch_type,prev_pitch_result,prev_pitch_result_idx,balls,strikes,outs_when_up,inning,is_top_inning,on_1b_flag,on_2b_flag,on_3b_flag,score_diff_pov,pitcher_ahead_flag,hitter_ahead_flag,putaway_count_flag,platoon_adv,fastballs_in_pa,last_two_fastballs_flag,risp_flag,high_leverage_flag,prev_release_speed,prev_pfx_x,prev_pfx_z,prev_speed_minus_ff_mean
776185,39,4,677942,AZ,LAD,CU,0,R,1,FC,2,FS,foul,3,2,2,2,4,0,0,0,0,8,0,0,1,0,3,1,0,0,90.9,0.58,0.58,-4.586996644295297
776185,39,5,677942,AZ,LAD,FF,2,R,1,CU,1,FC,ball,1,3,2,2,4,0,0,0,0,8,0,1,1,0,3,0,0,0,75.2,1.06,-1.4,-20.2869966442953
776185,40,0,677950,AZ,LAD,CU,0,L,0,START,0,START,START,0,0,0,2,4,0,1,0,0,8,0,0,0,1,4,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,40,1,677950,AZ,LAD,FS,3,L,0,CU,1,START,called_strike,2,0,1,2,4,0,1,0,0,8,0,0,0,1,0,0,0,0,76.3,1.26,-1.34,-19.186996644295306
776185,40,2,677950,AZ,LAD,CU,0,L,0,FS,4,CU,ball,1,1,1,2,4,0,1,0,0,8,0,0,0,1,1,0,0,0,90.1,-0.86,-0.08,-5.386996644295309
776185,40,3,677950,AZ,LAD,FF,2,L,0,CU,1,FS,foul,3,1,2,2,4,0,1,0,0,8,1,0,1,1,1,0,0,0,75.5,1.13,-1.43,-19.986996644295303
776185,41,0,694374,AZ,LAD,FC,1,R,1,START,0,START,START,0,0,0,2,4,0,1,1,0,8,0,0,0,0,2,0,1,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,41,1,694374,AZ,LAD,CU,0,R,1,FC,2,START,swinging_strike,4,0,1,2,4,0,0,1,1,8,0,0,0,0,1,0,1,0,89.5,0.45,0.33,-5.986996644295303
776185,41,2,694374,AZ,LAD,CU,0,R,1,CU,1,FC,swinging_strike,4,0,2,2,4,0,0,1,1,8,1,0,1,0,1,0,1,0,75.7,1.12,-1.4,-19.7869966442953
776185,46,0,664983,AZ,LAD,FC,1,L,0,START,0,START,START,0,0,0,0,5,0,0,0,0,8,0,0,0,1,1,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,46,1,664983,AZ,LAD,FC,1,L,0,FC,2,START,foul,3,0,1,0,5,0,0,0,0,8,0,0,0,1,1,0,0,0,88.7,0.5,0.57,-6.7869966442953
776185,46,2,664983,AZ,LAD,FS,3,L,0,FC,2,FC,called_strike,2,0,2,0,5,0,0,0,0,8,1,0,1,1,2,1,0,0,90.2,0.36,0.58,-5.2869966442953
