batter_name,batter_id,AVG_FF,AVG_FS,AVG_CU,AVG_FC,AVG_SI,AVG_SL,OBP_FF,OBP_FS,OBP_CU,OBP_FC,OBP_SI,OBP_SL,SLG_FF,SLG_FS,SLG_CU,SLG_FC,SLG_SI,SLG_SL
Will Benson,666181,0.20168067226890757,0.0,0.23076923076923078,0.3157894736842105,0.23529411764705882,0.36,0.24806201550387597,0.0,0.2857142857142857,0.36363636363636365,0.3,0.41379310344827586,0.42857142857142855,0.0,0.46153846153846156,0.7368421052631579,0.29411764705882354,0.64
Bo Naylor,666310,0.21875,0.3333333333333333,0.21739130434782608,0.25925925925925924,0.24444444444444444,0.16666666666666666,0.31543624161073824,0.36363636363636365,0.28,0.36363636363636365,0.32075471698113206,0.2857142857142857,0.46875,0.47619047619047616,0.34782608695652173,0.5185185185185185,0.5333333333333333,0.3333333333333333
Adolis Garcia,666969,0.23979591836734693,0.16666666666666666,0.2413793103448276,0.1935483870967742,0.27848101265822783,0.21794871794871795,0.30275229357798167,0.21052631578947367,0.30303030303030304,0.21212121212121213,0.313953488372093,0.24691358024691357,0.41836734693877553,0.3888888888888889,0.4482758620689655,0.3548387096774194,0.45569620253164556,0.358974358974359
Lourdes Gurriel,666971,0.25280898876404495,0.2,0.21739130434782608,0.18181818181818182,0.2962962962962963,0.22988505747126436,0.315,0.2,0.3076923076923077,0.2,0.32558139534883723,0.2872340425531915,0.42696629213483145,0.2,0.34782608695652173,0.2727272727272727,0.48148148148148145,0.367816091954023
Brent Rooker,667670,0.25287356321839083,0.25,0.24242424242424243,0.36666666666666664,0.2866666666666667,0.2621359223300971,0.3299492385786802,0.34782608695652173,0.3055555555555556,0.4444444444444444,0.33540372670807456,0.32142857142857145,0.4827586206896552,0.55,0.42424242424242425,0.9333333333333333,0.38666666666666666,0.5242718446601942
J.J. Bleday,668709,0.26436781609195403,0.0,0.2,0.2962962962962963,0.23076923076923078,0.2608695652173913,0.3564356435643564,0.041666666666666664,0.3333333333333333,0.3870967741935484,0.3333333333333333,0.3333333333333333,0.4942528735632184,0.0,0.6,0.6666666666666666,0.46153846153846156,0.5217391304347826
Spencer Steer,668715,0.2356687898089172,0.2777777777777778,0.21621621621621623,0.2222222222222222,0.22857142857142856,0.25842696629213485,0.329608938547486,0.2777777777777778,0.2926829268292683,0.3333333333333333,0.2966101694915254,0.30526315789473685,0.39490445859872614,0.4444444444444444,0.3783783783783784,0.5,0.3142857142857143,0.5168539325842697
Andrew Knizner,668800,0.20689655172413793,0.0,0.14285714285714285,0.25,0.23076923076923078,0.25,0.34285714285714286,0.0,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.3076923076923077,0.3103448275862069,0.0,0.14285714285714285,0.25,0.23076923076923078,0.5
Bryan Reynolds,668804,0.2824858757062147,0.1,0.1506849315068493,0.38636363636363635,0.2753623188405797,0.18181818181818182,0.3435897435897436,0.25,0.17333333333333334,0.509090909090909,0.3780487804878049,0.23958333333333334,0.4463276836158192,0.15,0.2328767123287671,0.4772727272727273,0.4492753623188406,0.3409090909090909
Royce Lewis,668904,0.19827586206896552,0.35714285714285715,0.3076923076923077,0.16,0.32727272727272727,0.32727272727272727,0.27692307692307694,0.4,0.35714285714285715,0.2222222222222222,0.36666666666666664,0.32727272727272727,0.35344827586206895,0.35714285714285715,0.5384615384615384,0.24,0.45454545454545453,0.6909090909090909
Brice Turang,668930,0.31137724550898205,0.1111111111111111,0.24324324324324326,0.5454545454545454,0.3132530120481928,0.24210526315789474,0.41414141414141414,0.15789473684210525,0.3,0.5625,0.41237113402061853,0.32407407407407407,0.49101796407185627,0.1388888888888889,0.24324324324324326,0.9772727272727273,0.40963855421686746,0.3473684210526316
Josh Rojas,668942,0.21052631578947367,0.125,0.25,0.23529411764705882,0.12195121951219512,0.17647058823529413,0.30337078651685395,0.125,0.25,0.2777777777777778,0.23404255319148937,0.17647058823529413,0.35526315789473684,0.125,0.25,0.23529411764705882,0.17073170731707318,0.23529411764705882
Ryan Kreidler,668952,0.29411764705882354,0.0,,0.0,0.09090909090909091,0.3333333333333333,0.4782608695652174,0.0,,0.1111111111111111,0.23076923076923078,0.45454545454545453,0.5882352941176471,0.0,,0.0,0.2727272727272727,0.3333333333333333
Brandon Marsh,669016,0.2463768115942029,0.3333333333333333,0.3103448275862069,0.23333333333333334,0.26153846153846155,0.25,0.35403726708074534,0.35294117647058826,0.36363636363636365,0.30303030303030304,0.3424657534246575,0.28125,0.35507246376811596,0.4666666666666667,0.3793103448275862,0.43333333333333335,0.4461538461538462,0.3333333333333333
